0,1,2,3,4
-3.950141349673393e-11,0.0,-1.6921324612974173e-12,-3.5980922414867e-11,-1.4571413383522056e-10
-1.68476785389695e-12,0.0,-1.5276017077962696e-12,-8.886358071824001e-12,-5.613914923183504e-11
-1.5623226422456475e-12,0.0,-1.3783534064881063e-12,-4.357846346890089e-12,-5.485572197998996e-11
-3.640102397315351e-11,0.0,-1.2431519679428714e-12,-5.7227588129777035e-11,-6.252295370499332e-11
-1.3568203194093137e-12,0.0,-6.854989539324149e-12,-3.0860453931039995e-11,-3.7394091776712025e-13
-1.2739381648499853e-12,0.0,-7.861742002752942e-11,-1.9776486135098972e-13,-3.420809396205472e-13
-1.2042335271391602e-12,0.0,-9.782660422852417e-11,-1.8323109882978545e-13,-3.132743089081051e-13
-1.7471449985132865e-11,0.0,-1.3073307582406178e-10,-3.299296477767221e-11,-1.4048316909625035e-11
-6.401212073193511e-11,0.0,-1.8852051196820165e-10,-1.0565504250228275e-10,-2.6372853050632857e-13
-2.277983019294217e-11,0.0,-1.3364092041211945e-10,-8.668219735116598e-11,-2.4249552946488433e-13
-9.992550785308595e-13,0.0,-1.8749104044502397e-10,-7.532001517776847e-11,-9.588043153943692e-12
-1.2498348072966337e-11,0.0,-9.817397704238259e-11,-2.0138437861787216e-10,-1.634739638570762e-11
-9.36315422440025e-13,0.0,-7.726066653977075e-11,-1.2240965057779803e-10,-8.311875816935356e-11
-9.14060969881202e-13,0.0,-4.3731059194956064e-13,-1.244475956822644e-10,-5.823870660837393e-11
-9.008941294936552e-13,0.0,-3.936907759682409e-13,-1.3085031062580334e-10,-4.893196631276822e-13
-3.362745612043377e-11,0.0,-3.184653075391743e-11,-1.1076601700453281e-10,-4.863727851051617e-11
-6.516392679542041e-11,0.0,-3.1902719201115356e-13,-1.2302919725547086e-12,-6.698107940900216e-11
-6.207788165384974e-11,0.0,-2.8717140354079374e-13,-4.785688987672856e-11,-3.0072761367598176e-11
-8.653349398887021e-13,0.0,-2.5848946123477973e-13,-3.4892472476246834e-11,-1.239547479714159e-13
-8.618915925965047e-13,0.0,-2.3266691364733656e-13,-6.921797630216734e-11,-1.163265249999097e-13
-8.609925973225151e-13,0.0,-2.0942002118465744e-13,-4.942434757112497e-11,-1.096869536964395e-13
-8.637572667597002e-13,0.0,-1.8849286824269512e-13,-5.017206108207931e-11,-1.036472408005192e-13
-8.701896558405322e-13,0.0,-2.8408609505514345e-11,-1.96787065392228e-11,-9.81575042941961e-14
-1.5590301700838474e-11,0.0,-6.341309939183078e-11,-3.22827507838855e-11,-9.317035400978336e-14
-8.885496836482251e-13,0.0,-7.889782800549462e-11,-7.004833565160161e-12,-9.066422936091674e-14
-8.998343028189438e-13,0.0,-1.9135266476245663e-11,-7.477446393676911e-13,-8.877122144446161e-14
-1.2257008233171768e-11,0.0,-1.1132937632390513e-13,-3.639328672604172e-11,-9.119545286018382e-14
-9.31690829862329e-13,0.0,-1.0019908152593581e-13,-4.802514721637965e-13,-9.50774084149473e-14
-9.485093108316421e-13,0.0,-9.018115549911548e-14,-2.7436259831747118e-11,-6.442671395012432e-11
-9.73377565111159e-13,0.0,-8.116452654356488e-14,-7.187632227196613e-13,-9.413737342670021e-11
-1.0027990619080226e-12,0.0,-4.4816664419831895e-11,-7.608700183706254e-13,-1.8539520184393153e-10
-1.0307507356717687e-12,0.0,-2.900066635500551e-11,-7.713739048926013e-13,-1.8720605750138453e-10
-1.0556592681753172e-12,0.0,-5.9171222701698e-14,-7.602777128398799e-13,-1.8821246611688277e-10
-2.5256685580539747e-11,0.0,-3.917254569787796e-11,-7.348733823897214e-13,-1.8682735669992737e-10
-8.840306170515943e-12,0.0,-9.295676484673948e-11,-7.65322479465038e-11,-1.1916503892777785e-10
-1.1266476096195585e-12,0.0,-2.8373974366130697e-11,-2.4715723513114622e-11,-5.1390285718870894e-11
-5.267035599103022e-11,0.0,-9.34430101297887e-11,-8.543729031851493e-11,-1.970289612936713e-11
-5.439282448096963e-11,0.0,-2.5159724392377714e-11,-5.633405069959312e-11,-6.831194854108868e-11
-1.1801144457748608e-12,0.0,-7.571438880862071e-12,-1.5944470550417205e-11,-1.3516379331169545e-11
-4.383757421688762e-11,0.0,-2.830249364692778e-14,-1.970108754683391e-11,-9.961127955917492e-14
-6.347402773534492e-11,0.0,-2.5472307068696973e-14,-5.403870595519144e-13,-1.0202055308261449e-13
-1.2729130500806946e-10,0.0,-2.2925123451709943e-14,-8.012966172270366e-13,-1.1324649707447881e-13
-8.921493220929983e-11,0.0,-2.063264642398714e-14,-1.1417385739548976e-12,-1.2871123254855832e-13
-9.996903909334013e-12,0.0,-1.856940826963321e-14,-3.55169697096535e-11,-1.5451433971971938e-13
-6.026667161834169e-11,0.0,-1.6712487308725448e-14,-6.195045694077054e-11,-1.8769152952087734e-13
-1.2858704281066368e-10,0.0,-1.5041253477391988e-14,-3.115987819402247e-12,-2.243070296689121e-13
-1.4892023350760477e-10,0.0,-1.3537139304299348e-14,-2.2045418604226585e-11,-5.3502608272207383e-11
-7.438865581210813e-11,0.0,-2.8366985029502727e-13,-1.0358450800852558e-10,-2.6734316360333373e-11
-7.689625298788453e-11,0.0,-1.7050577825273572e-12,-4.0682452720474574e-12,-2.999739533675244e-13
-2.3050307134878665e-11,0.0,-1.4053576828697418e-11,-4.139719960158553e-12,-7.60834905900345e-12
-2.3804802693053616e-12,0.0,-8.795254202971987e-11,-4.1396463735157455e-12,-3.3168399306874663e-13
-3.888287003526859e-11,0.0,-2.001738952071853e-11,-1.2644555209259628e-11,-2.3787430011815505e-11
